機器番号,型式,製造番号,機器分類,簡易表示,部署名
DC-6460,PVM-4763-Q20,120,モニタ,PVM-4763-Q20,厚木MMG
DC-6461,PVM-4763-Q20,121,モニタ,PVM-4763-Q20,管理部
DC-6462,PVM-4763-Q20,122,モニタ,PVM-4763-Q20,管理部
DC-6463,PVM-4763-Q20,123,モニタ,PVM-4763-Q20,相模原
DC-6464,PVM-4763-Q20,124,モニタ,PVM-4763-Q20,浜松
DC-6499,PVM-4763-Q20,264,モニタ,PVM-4763-Q20,管理部
DC-6500,PVM-4763-Q20,265,モニタ,PVM-4763-Q20,管理部
DC-10690,PVM-4763-Q20,21563,モニタ,PVM-4763-Q20,厚木MMG
DC-10691,PVM-4763-Q20,21564,モニタ,PVM-4763-Q20,管理部
DC-10692,PVM-4763-Q20,21565,モニタ,PVM-4763-Q20,管理部
DC-10693,PVM-4763-Q20,21566,モニタ,PVM-4763-Q20,管理部
DC-10694,PVM-4763-Q20,21567,モニタ,PVM-4763-Q20,管理部
DC-10695,PVM-4763-Q20,21568,モニタ,PVM-4763-Q20,管理部
DC-10696,PVM-4763-Q20,21569,モニタ,PVM-4763-Q20,管理部
DC-5835,QI-151P(CSM-1502_64),86,モニタ,QI-151P,管理部
DC-5835,QI-152P(CSM-1502_64),60,モニタ,QI-152P,管理部
DC-6374,QI-470P,34,モニタ,QI-470P,管理部
DC-6461,QI-470P,80,モニタ,QI-470P,管理部
DC-6462,QI-470P,81,モニタ,QI-470P,管理部
DC-6499,QI-470P,197,モニタ,QI-470P,管理部
DC-6500,QI-470P,198,モニタ,QI-470P,管理部
DC-3577,QI-600P,1642,モニタ,QI-600P,管理部
DC-6163,QL-130W(MEK-1303_362),112,検体,QL-130W,管理部
DC-5835,QM-150P(CSM-1502_64),37,モニタ,QM-150P,管理部
DC-5835,QM-600P(CSM-1502_64),25133,モニタ,QM-600P,管理部
DC-7391,QP-330D,24,検査機器,QP-330D,管理部
DC-4966,QP-550D,3,検査機器,QP-550D,管理部
DC-9696,QP-550D,958,検査機器,QP-550D,管理部
なし,QP-551D,22,検査機器,QP-551D,システム
DC-9934,QP-551D,686,検査機器,QP-551D,システム
DC-9933,QP-551D,685,検査機器,QP-551D,システム
なし,QP-551V,5926,検査機器,QP-551V,
DC-10304,QP-551V,13903,AED,QP-551V,管理部
DC-10305,QP-551V,13904,AED,QP-551V,医療圏
DC-6944,QP-601P,55,モニタ,QP-601P,管理部
DC-6945,QP-601P,56,モニタ,QP-601P,管理部
DC-6946,QP-601P,57,モニタ,QP-601P,管理部
なし,QP-997P,00485,人工呼吸器,QP-997P,システム
なし,QS-050D,93,検査機器,QS-050D,管理部
なし,QS-051D,283,検査機器,QS-051D,管理部
DC-7905,RAC-5103,4728,検査機器,RAC-5103,管理部
DC-9649,RAC-5103,5982,検査機器,RAC-5103,システム
DC-9650,RAC-5103,5983,検査機器,RAC-5103,管理部
DC-9651,RAC-5103,5984,検査機器,RAC-5103,厚木MMG
DC-9652,RAC-5203,1388,検査機器,RAC-5203,システム
DC-4502,RMC-5000,10845,検査機器,RMC-5000,循環器
DC-10013,RMC-5000M,15,検査機器,RMC-5000M,循環器
DC-8402,RMU-N2000,502000932,WJ救急麻酔,RMU-N2000,システム
DC-7091,RY-960B,144,検査機器,RY-960B,システム
なし,S905A(YN-925P),なし,モニタ,S905A,管理部
DC-5694,SAT-1200B,1711100202,WJ検査機器,SAT-1200B,管理部
DC-8298,SAT-1200BN,2307240007,WJ検査機器,SAT-1200BN,管理部
DC-5708,SAT-1200G,1711130115,WJ検査機器,SAT-1200G,管理部
DC-5676,SAT-1200P,1711140231,WJ検査機器,SAT-1200P,管理部
DC-5677,SAT-1200P,1711140232,WJ検査機器,SAT-1200P,管理部
DC-8788,SAT-2200N,2311210065,検査機器,SAT-2200N,厚木MMG
なし,SB-220V,25691,AED,SB-220V,管理部
なし,SB-220V (X233),27471,治療器救急関連機器,SB-220V,管理部
なし,SB-220V (X233),27472,治療器救急関連機器,SB-220V,管理部
なし,SB-310V,340388,AED,SB-310V,神奈川GP
なし,SB-310V,340389,AED,SB-310V,神奈川GP
なし,SB-310V,340390,AED,SB-310V,神奈川GP
なし,SB-310V,340391,AED,SB-310V,神奈川GP
なし,SB-310V,340392,AED,SB-310V,厚木MMG
なし,SB-310V,340393,AED,SB-310V,厚木MMG
DC-6137,SB-970P,DC-6137,モニタ,SB-970P,管理部
DC-7011,SC-101V,8,治療器救急関連機器,SC-101V,管理部
DC-7140,SC-101V,30,治療器救急関連機器,SC-101V,管理部
DC-7091,SC-900B,59,検査機器,SC-900B,システム
DC-3550,SEC-5104,7,モニタ,SEC-5104,循環器
DC-3562,SEC-5104,40,モニタ,SEC-5104,循環器
DC-10232,Soft ON,59,治具,Soft ON,第一MMG
DC-10233,Soft ON,60,治具,Soft ON,第二MMG
DC-10234,Soft ON,61,治具,Soft ON,厚木MMG
DC-10235,Soft ON,62,治具,Soft ON,川崎
DC-10236,Soft ON,63,治具,Soft ON,横浜北
DC-10237,Soft ON,64,治具,Soft ON,横浜西
DC-10238,Soft ON,65,治具,Soft ON,横浜南
DC-10239,Soft ON,66,治具,Soft ON,平塚
DC-10240,Soft ON,67,治具,Soft ON,相模原
DC-10241,Soft ON,68,治具,Soft ON,三島
DC-10242,Soft ON,69,治具,Soft ON,静岡
DC-10243,Soft ON,70,治具,Soft ON,浜松
toubu1,SP5-1S,NT5J3A106794,WJ循環器AF,SP5-1S,循環器
なし,ST-MULTI,F110280563,WJ循環器AF,ST-MULTI,循環器
DC-10497,SVM-7260-R,1514,モニタ,SVM-7260-R,管理部
なし,TACTI-SYS,36613,WJ循環器AF,TACTI-SYS,循環器
なし,TACTI-SYS,35528,WJ循環器AF,TACTI-SYS,循環器
なし,TACTI-SYS,33434,WJ循環器AF,TACTI-SYS,循環器
なし,TACTI-SYS,34960,WJ循環器AF,TACTI-SYS,循環器
なし,TACTI-SYS,35019,WJ循環器AF,TACTI-SYS,循環器
なし,TACTI-SYS,35791,WJ循環器AF,TACTI-SYS,循環器
DC-9565,TEC-1031-QI,92,治療器救急関連機器,TEC-1031-QI,管理部
DC-9566,TEC-1031-QI,93,治療器救急関連機器,TEC-1031-QI,管理部
DC-9567,TEC-1031-QI,94,治療器救急関連機器,TEC-1031-QI,管理部
DC-9568,TEC-1031-QI,95,治療器救急関連機器,TEC-1031-QI,管理部
DC-9129,TEC-2603,2788,治療器救急関連機器,TEC-2603,管理部
DC-7770,TEC-5631,6677,治療器救急関連機器,TEC-5631,管理部
なし,TEC-5631,6389,治療器救急関連機器,TEC-5631,管理部
なし,TG-920P,-,モニタ,TG-920P,システム
DC-7977,TG-940P,73,モニタ,TG-940P,システム
DC-7978,TG-940P,74,モニタ,TG-940P,システム
なし,TG-970P,3145,モニタ,TG-970P,システム
なし,TG-970P,3146,モニタ,TG-970P,システム
DC-7994,TG-980P2,23,モニタ,TG-980P2,システム
DC-8797,TG-980P2,162,モニタ,TG-980P2,システム
DC-8798,TG-980P2,163,モニタ,TG-980P2,システム
DC-8794,TG-980P2,158,モニタ,TG-980P2,三島
DC-8795,TG-980P2,159,モニタ,TG-980P2,静岡
DC-8796,TG-980P2,160,モニタ,TG-980P2,浜松
なし,TL-201T,-,モニタ,TL-201T,管理部
DC-2250,TRN-2100,63,AED,TRN-2100,三島
なし,TRN-2100,14,AED,TRN-2100,管理部
DC-2813,TRN-2150,41,AED,TRN-2150,管理部
DC-2814,TRN-2150,42,AED,TRN-2150,管理部
DC-2815,TRN-2150,43,AED,TRN-2150,管理部
DC-2816,TRN-2150,44,AED,TRN-2150,管理部
DC-2940,TRN-2150,366,AED,TRN-2150,管理部
DC-2941,TRN-2150,367,AED,TRN-2150,管理部
DC-2942,TRN-2150,368,AED,TRN-2150,管理部
DC-2943,TRN-2150,369,AED,TRN-2150,管理部
DC-2944,TRN-2150,370,AED,TRN-2150,管理部
DC-4252,TRN-2150,1888,AED,TRN-2150,管理部
DC-4799,TRN-3100,A02018,AED,TRN-3100,管理部
DC-4800,TRN-3100,A02019,AED,TRN-3100,管理部
DC-4920,TRN-3100,38,AED,TRN-3100,厚木MMG
DC-4921,TRN-3100,39,AED,TRN-3100,厚木MMG
DC-4922,TRN-3100,40,AED,TRN-3100,三島
DC-4924,TRN-3100,42,AED,TRN-3100,浜松
DC-4925,TRN-3100,43,AED,TRN-3100,管理部
DC-4926,TRN-3100,44,AED,TRN-3100,管理部
なし,TRN-3100,2542,AED,TRN-3100,管理部
なし,TRN-3100,2543,AED,TRN-3100,管理部
なし,TRN-3100,2544,AED,TRN-3100,管理部
なし,TRN-3100,2545,AED,TRN-3100,管理部
なし,TRN-3100,2546,AED,TRN-3100,静岡
DC-9251,TRN-3100,7949,AED,TRN-3100,管理部
DC-9252,TRN-3100,7950,AED,TRN-3100,管理部
DC-9253,TRN-3100,7951,AED,TRN-3100,管理部
DC-9254,TRN-3100,7909,AED,TRN-3100,管理部
DC-9255,TRN-3100,7910,AED,TRN-3100,管理部
DC-9256,TRN-3100,7911,AED,TRN-3100,管理部
DC-10633,TRN-3100,9785,AED,TRN-3100,管理部
DC-10634,TRN-3100,9786,AED,TRN-3100,管理部
DC-10635,TRN-3100,9787,AED,TRN-3100,管理部
DC-6418,TRN-3150,125,AED,TRN-3150,管理部
DC-6419,TRN-3150,126,AED,TRN-3150,管理部
DC-6420,TRN-3150,127,AED,TRN-3150,静岡
DC-6974,TRN-3150,333,AED,TRN-3150,管理部
DC-6975,TRN-3150,334,AED,TRN-3150,厚木MMG
DC-6976,TRN-3150,335,AED,TRN-3150,三島
DC-6977,TRN-3150,336,AED,TRN-3150,浜松
DC-10660,TRN-3150,6951,AED,TRN-3150,管理部
DC-10661,TRN-3150,6952,AED,TRN-3150,管理部
DC-10126,TRN-3200,42,AED,TRN-3200,第一MMG
DC-10127,TRN-3200,43,AED,TRN-3200,厚木MMG
DC-10128,TRN-3200,44,AED,TRN-3200,管理部
DC-10129,TRN-3200,45,AED,TRN-3200,平塚
DC-10130,TRN-3200,46,AED,TRN-3200,三島
DC-10131,TRN-3200,47,AED,TRN-3200,静岡
DC-10132,TRN-3200,48,AED,TRN-3200,浜松
DC-8421,TT101,DC-8421,WJ救急麻酔,TT101,管理部
DC-8422,TT101,DC-8422,WJ救急麻酔,TT101,管理部
DC-9415,TT101,DC-9415,WJ救急麻酔,TT101,管理部
DC-9416,TT101,DC-9416,WJ救急麻酔,TT101,管理部
DC-9417,TT101,DC-9417,WJ救急麻酔,TT101,管理部
DC-9418,TT101,DC-9418,WJ救急麻酔,TT101,管理部
DC-9419,TT101,DC-9419,WJ救急麻酔,TT101,管理部
DC-9420,TT101,DC-9420,WJ救急麻酔,TT101,管理部
DC-9421,TT101,DC-9421,WJ救急麻酔,TT101,管理部
DC-9422,TT101,DC-9422,WJ救急麻酔,TT101,管理部
なし,TT-410T,33083,モニタ,TT-410T,管理部
なし,TT-411T,33065,モニタ,TT-411T,管理部
なし,TT-480T,33037,モニタ,TT-480T,管理部
なし,TT-481T,33037,モニタ,TT-481T,管理部
なし,UBM-2000,M000823,検査機器,UBM-2000,管理部
DC-10717,UBM-4000,25EM1110,WJ検査機器,UBM-4000,管理部
DC-7366,VA-201R,16,モニタ,VA-201R,管理部
DC-7431,VA-201R,53,モニタ,VA-201R,管理部
なし,VA-201R,43,モニタ,VA-201R,管理部
DC-9242,VA-201R,574,モニタ,VA-201R,管理部
DC-9243,VA-201R,575,モニタ,VA-201R,管理部
DC-7793,VJPH221(PRM-4000),4557129,検査機器,VJPH221,システム
DC-7794,VJPH221(PRM-4000),4557133,検査機器,VJPH221,システム
DC-7528,VL-238R,13,モニタ,VL-238R,管理部
toubu1,VWM-ICE-01,NW4-3C000212,WJ循環器AF,VWM-ICE,循環器
DC-7653,WEC-7201,24097,モニタ,WEC-7201,管理部
DC-10502,WEC-7201,27228,検査機器,WEC-7201,管理部
DC-6195,WEC-7301,1989,モニタ,WEC-7301,管理部
DC-8804,WEC-7301,21140,モニタ,WEC-7301,管理部
DC-10503,WEC-7301,21366,検査機器,WEC-7301,管理部
DC-7310,WEP-1200-Z03,59,モニタ,WEP-1200-Z03,管理部
DC-7312,WEP-1200-Z03,61,モニタ,WEP-1200-Z03,厚木MMG
DC-7313,WEP-1200-Z03,62,モニタ,WEP-1200-Z03,三島
DC-10380,WEP-1200-Z03,1482,モニタ,WEP-1200-Z03,管理部
DC-6711,WEP-1450-Z06,96,モニタ,WEP-1450-Z06,管理部
DC-6712,WEP-1450-Z06,97,モニタ,WEP-1450-Z06,管理部
DC-6713,WEP-1450-Z06,98,モニタ,WEP-1450-Z06,平塚
DC-6714,WEP-1450-Z06,99,モニタ,WEP-1450-Z06,相模原
DC-6715,WEP-1450-Z06,100,モニタ,WEP-1450-Z06,三島
DC-6717,WEP-1450-Z06,102,モニタ,WEP-1450-Z06,浜松
DC-7769,WEP-1450-Z06,1677,モニタ,WEP-1450-Z06,静岡
DC-10569,WEP-1450-Z06,2459,モニタ,WEP-1450-Z06,管理部
DC-10570,WEP-1450-Z06,2460,モニタ,WEP-1450-Z06,管理部
DC-10571,WEP-1450-Z06,2461,モニタ,WEP-1450-Z06,管理部
DC-10572,WEP-1450-Z06,2477,モニタ,WEP-1450-Z06,管理部
DC-8181,WEP-1650-Z08,35,モニタ,WEP-1650-Z08,管理部
DC-8182,WEP-1650-Z08,36,モニタ,WEP-1650-Z08,管理部
DC-8183,WEP-1650-Z08,37,モニタ,WEP-1650-Z08,管理部
DC-8184,WEP-1650-Z08,38,モニタ,WEP-1650-Z08,管理部
DC-1402,WEP-5208,80,モニタ,WEP-5208,三島
DC-4015,WEP-5208,1865,モニタ,WEP-5208,相模原
DC-7091,WJ-120B,714,検査機器,WJ-120B,システム
DC-6709,WS-140P,123,モニタ,WS-140P,管理部
DC-6710,WS-140P,124,モニタ,WS-140P,管理部
DC-6711,WS-140P,125,モニタ,WS-140P,管理部
DC-6712,WS-140P,126,モニタ,WS-140P,管理部
DC-7528,WS-140P,2596,モニタ,WS-140P,管理部
DC-7547,WS-140P,2653,モニタ,WS-140P,管理部
DC-7548,WS-140P,2654,モニタ,WS-140P,管理部
DC-5835,WS-151P(CSM-1502_64),92,モニタ,WS-151P,管理部
なし,X216,170367,AED,X216,神奈川GP
なし,X216,170368,AED,X216,厚木MMG
なし,X217,362469,AED,X217,神奈川GP
なし,X217,362470,AED,X217,神奈川GP
なし,X217,362471,AED,X217,神奈川GP
なし,X217,362472,AED,X217,神奈川GP
なし,X217,362473,AED,X217,厚木MMG
なし,X217,362474,AED,X217,厚木MMG
なし,Y059I,108340,検査機器,Y059I,管理部
なし,Y086,なし,検査機器,Y086,管理部
DC-8229,Y251A,DC-8229,AED,Y251A,管理部
DC-8230,Y251A,DC-8230,AED,Y251A,管理部
なし,Y849B,1,検査機器,Y849B,管理部
なし,YC-220D,-,計測器,YC-220D,管理部
DC-7630,YC-320D,DC-7630,検査機器,YC-320D,管理部
DC-7631,YC-320D,DC-7631,検査機器,YC-320D,管理部
DC-7729,YC-320D,DC-7729,検査機器,YC-320D,管理部
DC-7391,YC-330D,DC-7391/②,検査機器,YC-330D,管理部
なし,YE-103J,2230,検査機器,YE-103J,管理部
なし,YJ-330Z,405822710,人工呼吸器,YJ-330Z,システム
なし,YJ-331Z,LY1,人工呼吸器,YJ-331Z,システム
なし,YJ-332Z,404607450,人工呼吸器,YJ-332Z,システム
DC-7742,YJ-333Z,lot.404865082,人工呼吸器,YJ-333Z,管理部
なし,YS-095P6,0001622537,モニタ,YS-095P6,管理部
DC-3577,YS-096P2,DC-3577,モニタ,YS-096P2,管理部
なし,YS-096P6,0001622537 ②,モニタ,YS-096P6,管理部
DC-6136,YS-118P1,DC-6136,モニタ,YS-118P1,管理部
DC-6137,YS-118P1,DC-6137,モニタ,YS-118P1,管理部
DC-6136,YS-118P8,DC-6136,モニタ,YS-118P8,管理部
DC-6137,YS-118P8,DC-6137,モニタ,YS-118P8,管理部
DC-7109,YS-120P0,なし,人工呼吸器,YS-120P0,システム
DC-7310,ZA-024P,18,モニタ,ZA4P,管理部
DC-6944,ZS-600P,127,モニタ,ZS-600P,管理部
DC-6945,ZS-600P,128,モニタ,ZS-600P,管理部
DC-6946,ZS-600P,129,モニタ,ZS-600P,管理部
DC-9257,ZS-600P,13924,モニタ,ZS-600P,管理部
DC-9258,ZS-600P,13925,モニタ,ZS-600P,管理部
DC-9259,ZS-600P,13903,モニタ,ZS-600P,管理部
DC-8789,ZS-610P,13590,モニタ,ZS-610P,厚木MMG
DC-3414,ZS-611P,75,モニタ,ZS-611P,三島
DC-8805,ZS-611P,2847,モニタ,ZS-611P,管理部
DC-8806,ZS-611P,2848,モニタ,ZS-611P,管理部
DC-8811,ZS-620P,6904,モニタ,ZS-620P,管理部
DC-8812,ZS-620P,6905,モニタ,ZS-620P,管理部
DC-8813,ZS-620P,6906,モニタ,ZS-620P,管理部
DC-8814,ZS-620P,6907,モニタ,ZS-620P,平塚
DC-8815,ZS-620P,6908,モニタ,ZS-620P,三島
DC-8816,ZS-620P,6909,モニタ,ZS-620P,静岡
DC-8817,ZS-620P,6910,モニタ,ZS-620P,浜松
DC-3187,ZS-630P,2042,モニタ,ZS-630P,三島
DC-3189,ZS-630P,2044,モニタ,ZS-630P,浜松
DC-7939,ZS-630P,111704,モニタ,ZS-630P,管理部
DC-8532,ZS-630P,118714,モニタ,ZS-630P,管理部
DC-8533,ZS-630P,118715,モニタ,ZS-630P,管理部
DC-8534,ZS-630P,118716,モニタ,ZS-630P,管理部
DC-8535,ZS-630P,118717,モニタ,ZS-630P,管理部
DC-8536,ZS-630P,118718,モニタ,ZS-630P,平塚
DC-8537,ZS-630P,118720,モニタ,ZS-630P,相模原
DC-8538,ZS-630P,118721,モニタ,ZS-630P,三島
DC-8539,ZS-630P,118722,モニタ,ZS-630P,静岡
DC-8540,ZS-630P,118723,モニタ,ZS-630P,浜松
DC-8819,ZS-640P,6849,モニタ,ZS-640P,管理部
DC-8820,ZS-640P,6850,モニタ,ZS-640P,管理部
DC-8821,ZS-640P,6851,モニタ,ZS-640P,管理部
DC-8822,ZS-640P,6852,モニタ,ZS-640P,管理部
DC-8823,ZS-640P,6853,モニタ,ZS-640P,平塚
DC-8824,ZS-640P,6854,モニタ,ZS-640P,相模原
DC-8825,ZS-640P,6855,モニタ,ZS-640P,三島
DC-8826,ZS-640P,6856,モニタ,ZS-640P,静岡
DC-8827,ZS-640P,6857,モニタ,ZS-640P,浜松
DC-10996,ZS-730P,771,モニタ,ZS-730P,管理部
DC-10997,ZS-730P,772,モニタ,ZS-730P,管理部
DC-10998,ZS-730P,773,モニタ,ZS-730P,管理部
DC-10999,ZS-730P,774,モニタ,ZS-730P,管理部
DC-11000,ZS-730P,775,モニタ,ZS-730P,管理部
DC-2031,ZS-940P,2053,モニタ,ZS-940P,三島
DC-3523,ZT-210P,87,モニタ,ZT-210P,三島
なし,ZT-210P,120,モニタ,ZT-210P,管理部
なし,ZT-210P,219,モニタ,ZT-210P,管理部
なし,ZT-210P,138,モニタ,ZT-210P,平塚
なし,ZT-210P,119,モニタ,ZT-210P,相模原
なし,ZT-210P,126,モニタ,ZT-210P,三島
なし,ZT-210P,220,モニタ,ZT-210P,静岡
なし,ZT-210P,117,モニタ,ZT-210P,浜松
DC-8830,ZT-210P,6620,モニタ,ZT-210P,管理部
DC-3039,ZU-210R,95,その他,ZU-210R,管理部
なし,モニタセット 1,1,モニタ,モニタセット,管理部
なし,モニタセット 2,2,モニタ,モニタセット,管理部
なし,モニタセット 3,3,モニタ,モニタセット,管理部
なし,モニタセット 4,4,モニタ,モニタセット,管理部
なし,モニタセット 5,5,モニタ,モニタセット,管理部
なし,モニタセット 6,6,モニタ,モニタセット,管理部
なし,モニタセット１０,10,モニタ,モニタセット,管理部
なし,モニタセット７,7,モニタ,モニタセット,管理部
なし,モニタセット８,8,モニタ,モニタセット,管理部
なし,モニタセット９,9,モニタ,モニタセット,管理部
なし,モニタセットOPV用,11,モニタ,モニタセット,管理部
なし,モニタセットOPV用,12,モニタ,モニタセット,管理部
なし,モニタセットOPV用,13,モニタ,モニタセット,管理部
なし,リトルアン,1,AED,リトルアン,管理部
なし,リトルアン,2,AED,リトルアン,管理部
なし,リトルアン,3,AED,リトルアン,管理部
なし,リトルアン,4,AED,リトルアン,管理部
なし,リトルアン,5,AED,リトルアン,管理部
なし,リトルアン,6,AED,リトルアン,管理部
なし,リトルアン,7,AED,リトルアン,管理部
なし,リトルアン,8,AED,リトルアン,管理部
なし,小児用心電図電極セット１,1,検査機器,小児用心電図電極セット,管理部
なし,小児用心電図電極セット２,2,検査機器,小児用心電図電極セット,管理部
なし,心電計セット,1,検査機器,心電計セット,管理部
なし,心電計セット,2,検査機器,心電計セット,管理部
なし,心電計セット,3,検査機器,心電計セット,管理部
なし,心電計セット,4,検査機器,心電計セット,管理部
なし,心電計セット,5,検査機器,心電計セット,管理部
DC-4751,挿管ﾍｯﾄﾞ,11,検査機器,挿管ﾍｯﾄﾞ,管理部
なし,展示会セット,1,その他,展示会セット,管理部
なし,展示会セット,2,その他,展示会セット,管理部
なし,動物用モニタセット１,1,モニタ,動物用モニタセット,管理部
なし,動物用モニタセット２,2,モニタ,動物用モニタセット,管理部
なし,動物用心電計電極キット,なし,検査機器,動物用心電計電極キット,管理部
