機器番号,型式,製造番号,機器分類,簡易表示,部署名
なし,IF-917P,2021,人工呼吸器,IF-917P,システム
DC-8067,IF-920P,1636,モニタ,IF-920P,管理部
DC-8078,IF-930P,1655,モニタ,IF-930P,管理部
DC-8089,IF-932P,296,モニタ,IF-932P,管理部
DC-8100,IF-948P,1707,モニタ,IF-948P,管理部
DC-8111,IF-950P,426,モニタ,IF-950P,管理部
なし,IF-966P,168,モニタ,IF-966P,管理部
DC-7758,IF-966P,14,人工呼吸器,IF-966P,システム
DC-7759,IF-966P,15,人工呼吸器,IF-966P,システム
なし,IMMUNO　AG1,116549,検査機器,IMMUNO　AG1,管理部
DC-8030,INTELLICUFF,13566,人工呼吸器,INTELLICUFF,システム
DC-8031,INTELLICUFF,13567,人工呼吸器,INTELLICUFF,システム
DC-5654,InterStim Ⅱ,NHF037894N,WJニューロ,InterStim Ⅱ,システム
なし,JA-694P,29,モニタ,JA-694P,管理部
なし,JA-694P,2024,その他,JA-694P,管理部
DC-10025,JB-530G,13,検査機器,JB-530G,循環器
DC-7091,JB-964B,98,検査機器,JB-964B,システム
なし,JC-933P,LOT 405913334,モニタ,JC-933P,管理部
DC-6991,JD-214E,24,検査機器,JD-214E,システム
DC-7715,JD-214E,56,検査機器,JD-214E,管理部
なし,JL-430U(K939B),909242,モニタ,JL-430U,管理部
なし,JL-500P2(Y094A),3863,モニタ,JL-500P2,管理部
DC-8045,K901,DC-8045,検査機器,K901,管理部
なし,K930,212026,モニタ,K930,管理部
なし,K939B,909242,モニタ,K939B,管理部
なし,K943A(JL-632P),-,モニタ,K943A,管理部
なし,KC-120P,なし,モニタ,KC-120P,管理部
なし,KC-140P,1,モニタ,KC-140P,静岡
なし,KC-140P,2,モニタ,KC-140P,管理部
なし,KC-140P,3,モニタ,KC-140P,管理部
なし,KC-150P,1,モニタ,KC-150P,管理部
なし,KC-150P,2,モニタ,KC-150P,管理部
なし,KC-150P,-,モニタ,KC-150P,システム
なし,KC-170P,なし,モニタ,KC-170P,管理部
DC-8786,KC-170P,DC-8786,検査機器,KC-170P,厚木MMG
DC-7109,KC-330Z,27,人工呼吸器,KC-330Z,システム
なし,KC-470P,1,モニタ,KC-470P,管理部
なし,KC-470P,2,モニタ,KC-470P,管理部
なし,KC-470P,Y,モニタ,KC-470P,管理部
なし,KC-470P,R,モニタ,KC-470P,平塚
なし,KC-470P,M,モニタ,KC-470P,三島
なし,KC-470P,Z,モニタ,KC-470P,静岡
なし,KC-470P,K,モニタ,KC-470P,相模原
なし,KC-470P,H,モニタ,KC-470P,浜松
なし,KC-470P,B,モニタ,KC-470P,管理部
なし,KC-600P,1,その他,KC-600P,管理部
なし,KC-600P,2,その他,KC-600P,管理部
DC-9567,KD-101V,DC-9567,治療器救急関連機器,KD-101V,静岡
DC-7875,KD-105D-01,DC-7875,検査機器,KD-105D,管理部
なし,KD-106D,1,検査機器,KD-106D,管理部
なし,KD-107D,1,検査機器,KD-107D,管理部
なし,KD-108D,1,その他,KD-108D,管理部
なし,KD-108D,2,その他,KD-108D,管理部
なし,KD-561V,-,治療器救急関連機器,KD-561V,管理部
なし,KD-561V,なし,治療器救急関連機器,KD-561V,管理部
なし,KH-210D,492332,検査機器,KH-210D,管理部
なし,KH-220D,1591400,検査機器,KH-220D,管理部
DC-7109,KH-330Z,39,人工呼吸器,KH-330Z,システム
toubu1,L9-3S,NT5L3C032888,WJ循環器AF,L9-3S,循環器
DC-6902,Leonplus,0200010HUL21005576,VG_麻酔器,Leonplus,静岡
なし,LS-102J,2106,検査機器,LS-102J,管理部
DC-9728,MDL_Armadillo,00BF00560092,その他,MDL_Armadillo,管理部
DC-9486,MEB-2300(DC-230B-NEO),10055,検査機器,MEB-2300,システム
DC-5108,MEE-2000,7,検査機器,MEE-2000,システム
DC-6544,MEK-1302,14,検体,MEK-1302,管理部
DC-6545,MEK-1302,15,検体,MEK-1302,管理部
DC-6546,MEK-1302,16,検体,MEK-1302,厚木MMG
DC-6609,MEK-1302,82,検体,MEK-1302,三島
DC-6610,MEK-1302,83,検体,MEK-1302,浜松
なし,MEK-1302,180,検体,MEK-1302,厚木MMG
DC-7771,MEK-1302,453,検体,MEK-1302,静岡
DC-5885,MEK-1303,29,検体,MEK-1303,管理部
DC-5886,MEK-1303,39,検体,MEK-1303,管理部
DC-5887,MEK-1303,32,検体,MEK-1303,厚木MMG
DC-5882,MEK-1303,43,検体,MEK-1303,三島
DC-5884,MEK-1303,44,検体,MEK-1303,浜松
DC-6163,MEK-1303,362,検体,MEK-1303,管理部
DC-6165,MEK-1303,364,検体,MEK-1303,管理部
DC-6167,MEK-1303,366,検体,MEK-1303,厚木MMG
DC-6169,MEK-1303,378,検体,MEK-1303,管理部
DC-7772,MEK-1303,2183,検体,MEK-1303,静岡
DC-7773,MEK-1303,2184,検体,MEK-1303,静岡
DC-10896,MEK-1303,3744,検体,MEK-1303,管理部
DC-10897,MEK-1303,3745,検体,MEK-1303,管理部
DC-10898,MEK-1303,3746,検体,MEK-1303,管理部
DC-10899,MEK-1303,3747,検体,MEK-1303,管理部
DC-10900,MEK-1303,3748,検体,MEK-1303,管理部
DC-10901,MEK-1303,3749,検体,MEK-1303,管理部
DC-10902,MEK-1303,3750,検体,MEK-1303,管理部
DC-10903,MEK-1303,3751,検体,MEK-1303,管理部
DC-10904,MEK-1303,3752,検体,MEK-1303,管理部
DC-10905,MEK-1303,3753,検体,MEK-1303,管理部
DC-10906,MEK-1303,3754,検体,MEK-1303,管理部
DC-10907,MEK-1303,3755,検体,MEK-1303,管理部
DC-3255,MEK-6500,121,検体,MEK-6500,三島
DC-9133,MEK-7300,1609,検体,MEK-7300,静岡
DC-7891,MEM-8301,572,検査機器,MEM-8301,管理部
DC-7892,MEM-8301,573,検査機器,MEM-8301,管理部
DC-9371,MER3700PCS,13003156,WJ循環器CRM,MER3700PCS,循環器
DC-10330,Mobile Precision3591,2XFMZB4,システム,Mobile Precision3591,システム
なし,MPG-3650,12053821,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12049228,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12049346,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12048531,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12049286,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12053576,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12051946,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12053618,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12054849,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12054879,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,31993,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,32097,WJ検査機器,MPG-3650,循環器
なし,MPG-3650,12049144,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12049425,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12049192,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,31609,WJ循環器CRM,MPG-3650,循環器
